"Año";"NOMBRE_ESTANDAR";"deficit_total";"deficit_base";"share_deficit";"deficit_est";"hogares_deficit";"pob_bog";"share_pob";"poblacion_localidad";"hogares_localidad";"deficit_rate"
2018;"USME";190000;24473;0,0921270572646098;17504,1408802759;6251,47888581281;7366187;0,0442300671592973;325806,945717943;116359,623470694;0,0537254994417139
2019;"ANTONIO NARINO";185000;2116;0,00796554787610486;1473,6263570794;526,295127528357;7507403;0,0169826446785905;127495,557607985;45534,1277171374;0,0115582564971433
2019;"BARRIOS UNIDOS";185000;2227;0,00838340034030507;1550,92906295644;553,903236770156;7507403;0,0326155469228465;244858,054815219;87449,3052911496;0,00633399241910519
2019;"BOSA";185000;30077;0,113222960051799;20946,2476095827;7480,80271770812;7507403;0,0743726260671057;558345,276054067;199409,027162167;0,0375148649194525
2019;"CANDELARIA";185000;58;0,000218337323636145;40,3924048726868;14,4258588831024;7507403;0,00332264923832982;24944,466859785;8908,73816420894;0,00161929317229893
2019;"CHAPINERO";185000;723;0,00272168767222298;503,51221936125;179,825792629018;7507403;0,0180760880417112;135704,477592607;48465,8848545024;0,00371035818635864
2019;"CIUDAD BOLIVAR";185000;47419;0,178505819819006;33023,5766665161;11794,1345237557;7507403;0,0841079674738597;631432,407337157;225511,574048985;0,0522994643334531
2019;"ENGATIVA";185000;17618;0,0663218442727861;12269,5411904654;4381,9789965948;7507403;0,117694917678824;883583,17806676;315565,420738129;0,0138861190378371
2019;"FONTIBON";185000;6585;0,0247888151059312;4585,93079459728;1637,83242664189;7507403;0,0440834402487889;330952,151574079;118197,196990742;0,013856778911349
2019;"KENNEDY";185000;34065;0,128235533270091;23723,5736549668;8472,70487677386;7507403;0,139112877389207;1044376,43305036;372991,583232272;0,0227155390568094
2019;"LOS MARTIRES";185000;2756;0,0103747873093313;1919,33565222629;685,477018652246;7507403;0,013894538892639;104311,902966215;37254,2510593624;0,0183999677663625
2019;"PUENTE ARANDA";185000;4501;0,0169437292014877;3134,58990227523;1119,49639366972;7507403;0,0371453349843762;278864,999297711;99594,6426063253;0,0112405282490428
2019;"RAFAEL URIBE URIBE";185000;20697;0,0779125446085739;14413,8207525862;5147,79312592363;7507403;0,0553582152047934;415596,430903111;148427,296751111;0,0346822534574328
2019;"SAN CRISTOBAL";185000;25061;0,0943405459938866;17453,001008869;6233,21464602465;7507403;0,0596323002394608;447683,709714629;159887,039183796;0,0389851152278787
2019;"SANTA FE";185000;6201;0,0233432714459954;4318,50521750915;1542,32329196755;7507403;0,0143119189498891;107445,343260154;38373,3368786264;0,0401925768625718
2019;"SUBA";185000;25665;0,096614265708994;17873,6391561639;6383,44255577282;7507403;0,13520968095236;1015073,56441079;362526,273003853;0,0176082205101449
2019;"TEUSAQUILLO";185000;58;0,000218337323636145;40,3924048726868;14,4258588831024;7507403;0,0201649254721044;151386,221984053;54066,5078514474;0,000266816915986857
2019;"TUNJUELITO";185000;9694;0,0364924485401515;6751,10297992802;2411,10820711715;7507403;0,0269319660075906;202189,122401284;72210,4008576014;0,0333900404717576
2019;"USAQUEN";185000;5650;0,021269066871452;3934,77737121862;1405,27763257808;7507403;0,0618543535824501;464365,559647946;165844,842731409;0,0084734478892055
2019;"USME";185000;24473;0,0921270572646098;17043,5055939528;6086,96628355458;7507403;0,0442300671592973;332052,93888191;118590,335314968;0,0513276757957383
2020;"ANTONIO NARINO";205000;2116;0,00796554787610486;1632,9373146015;583,191898071963;7690578;0,0169826446785905;130606,353546985;46645,1262667805;0,0125027402592176
2020;"BARRIOS UNIDOS";205000;2227;0,00838340034030507;1718,59706976254;613,784667772336;7690578;0,0326155469228465;250832,407622811;89583,0027224326;0,00685157506579802
2020;"BOSA";205000;30077;0,113222960051799;23210,7068106187;8289,53814664954;7690578;0,0743726260671057;571968,481833909;204274,457797825;0,0405803948081159
2020;"CANDELARIA";205000;58;0,000218337323636145;44,7591513454096;15,9854111947892;7690578;0,00332264923832982;25553,0931340161;9126,10469072004;0,00175161383049266
