"Año","Mes","Nacionalidad","Codigo M49","Femenino","Masculino","Indefinido","Total","Ubicación PCM"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,360","1,693",,"3,053","(11.360009,-72.129330)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","0",,"1","(11.528919,-72.919681)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","27","16",,"43","(12.586067,-81.702563)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","112","104",,"216","(3.541112,-76.384584)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","5,947","6,938",,"12,885","(4.697144,-74.140516)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","7",,"7","(4.815061,-75.736532)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","310","366",,"676","(6.171601,-75.427454)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","2","3",,"5","(6.185799,-67.483929)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","2","0",,"2","(6.228046,-77.404104)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","28","47",,"75","(7.088729,-70.740253)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","9","7",,"16","(7.128456,-73.183637)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,801","1,765",,"3,566","(7.818934,-72.453226)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","402","444",,"846","(7.927209,-72.507910)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","2",,"2","(8.066966,-76.735404)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(8.635765,-77.346578)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(0.25129,-76.875963)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","69","83",,"152","(0.814836,-77.662532)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","20",,"20","(1.397318,-77.290564)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(10.408582,-75.538003)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","131","153",,"284","(10.445761,-75.516429)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","35","75",,"110","(10.886611,-74.776708)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","2","7",,"9","(11.117806,-74.232622)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","776","1,425",,"2,201","(11.360009,-72.129330)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","20","12",,"32","(12.586067,-81.702563)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","55","81",,"136","(3.541112,-76.384584)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","2",,"2","(-4.197703,-69.941278)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","3",,"4","(4.452882,-75.766298)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","5,287","6,649",,"11,936","(4.697144,-74.140516)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","12",,"13","(4.815061,-75.736532)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","313","393",,"706","(6.171601,-75.427454)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","51","89",,"140","(6.185799,-67.483929)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","49","101",,"150","(7.088729,-70.740253)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","2","2",,"4","(7.128456,-73.183637)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,046","1,305",,"2,351","(7.818934,-72.453226)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","214","302",,"516","(7.927209,-72.507910)"
"2012","Octubre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(8.635765,-77.346578)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","2",,"2","(0.25129,-76.875963)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","36","64",,"100","(0.814836,-77.662532)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3","5",,"8","(10.408582,-75.538003)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","72","90",,"162","(10.445761,-75.516429)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","27","63",,"90","(10.886611,-74.776708)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","5",,"5","(11.117806,-74.232622)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","2",,"2","(11.247723,-74.213989)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","749","1,393",,"2,142","(11.360009,-72.129330)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(11.528919,-72.919681)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","16","10",,"26","(12.586067,-81.702563)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","62","89",,"151","(3.541112,-76.384584)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","2","4",,"6","(-4.197703,-69.941278)"
"2012","Noviembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","2","3",,"5","(4.452882,-75.766298)"
